Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
KPC3_000,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_000_0,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_000_1,0.055,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_001,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_001_0,0.075,0.0,0.0,0.075,Non-Toxin,0.0
KPC3_001_1,0.36,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_002,0.5,0.0,0.0,0.5,Toxin,0.497
KPC3_002_0,0.175,0.0,0.0,0.175,Non-Toxin,0.072
KPC3_002_1,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_003,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_003_0,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_003_1,0.245,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_004,0.21,0.0,0.0,0.21,Non-Toxin,0.118
KPC3_004_0,0.345,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_004_1,0.235,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_005,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_005_0,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_005_1,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_006,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_006_0,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_006_1,0.285,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_007,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_007_0,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_007_1,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_008,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_008_0,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_008_1,0.33,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_009,0.13,0.0,0.0,0.13,Non-Toxin,0.013
KPC3_009_0,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_009_1,0.09,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_010,0.33,0.0,0.0,0.33,Non-Toxin,0.275
KPC3_010_0,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_010_1,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_011,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_011_0,0.1,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_011_1,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_012,0.375,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_012_0,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_012_1,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_013,0.52,0.0,-0.5,0.02,Non-Toxin,0.0
KPC3_013_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_013_1,0.1,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_014,0.26,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_014_0,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_014_1,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_015,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_015_0,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_015_1,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_016,0.26,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_016_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_016_1,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_017,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_017_0,0.365,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_017_1,0.235,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_018,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_018_0,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_018_1,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_019,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_019_0,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_019_1,0.085,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_020,0.255,0.0,0.0,0.255,Non-Toxin,0.177
KPC3_020_0,0.24,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_020_1,0.045,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_021,0.285,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_021_0,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_021_1,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_022,0.56,0.0,-0.5,0.06,Non-Toxin,0.0
KPC3_022_0,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_022_1,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_023,0.335,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_023_0,0.25,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_023_1,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_024,0.825,0.0,-0.5,0.325,Non-Toxin,0.268
KPC3_024_0,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_024_1,0.245,0.0,0.0,0.245,Non-Toxin,0.164
KPC3_025,0.795,0.0,0.0,0.795,Toxin,0.882
KPC3_025_0,0.14,0.0,0.0,0.14,Non-Toxin,0.026
KPC3_025_1,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_026,0.375,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_026_0,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_026_1,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_027,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_027_0,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_027_1,0.22,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_028,0.29,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_028_0,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_028_1,0.125,0.0,0.0,0.125,Non-Toxin,0.007
KPC3_029,0.555,0.0,-0.5,0.055,Non-Toxin,0.0
KPC3_029_0,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_029_1,0.155,0.0,0.0,0.155,Non-Toxin,0.046
KPC3_030,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_030_0,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_030_1,0.275,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_031,0.07,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_031_0,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_031_1,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_032,0.055,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_032_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_032_1,0.115,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_033,0.29,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_033_0,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_033_1,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_034,0.325,0.5,-0.5,0.325,Non-Toxin,0.268
KPC3_034_0,0.235,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_034_1,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_035,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_035_0,0.33,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_035_1,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_036,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_036_0,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_036_1,0.24,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_037,0.645,0.0,-0.5,0.145,Non-Toxin,0.033
KPC3_037_0,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_037_1,0.085,0.0,0.0,0.085,Non-Toxin,0.0
KPC3_038,0.19,0.0,0.0,0.19,Non-Toxin,0.092
KPC3_038_0,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_038_1,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_039,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_039_0,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_039_1,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_040,0.57,0.0,-0.5,0.07,Non-Toxin,0.0
KPC3_040_0,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_040_1,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_041,0.305,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_041_0,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_041_1,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_042,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_042_0,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_042_1,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_043,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_043_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_043_1,0.055,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_044,0.23,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_044_0,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_044_1,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_045,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_045_0,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_045_1,0.205,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_046,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_046_0,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_046_1,0.115,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_047,0.325,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_047_0,0.09,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_047_1,0.065,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_048,0.555,0.5,-0.5,0.555,Toxin,0.569
KPC3_048_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_048_1,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_049,0.395,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_049_0,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_049_1,0.115,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_050,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_050_0,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_050_1,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_051,0.375,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_051_0,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_051_1,0.1,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_052,0.24,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_052_0,0.485,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_052_1,0.36,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_053,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_053_0,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_053_1,0.355,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_054,0.065,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_054_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_054_1,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_055,0.65,0.0,-0.5,0.15,Non-Toxin,0.039
KPC3_055_0,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_055_1,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_056,0.54,0.0,-0.5,0.04,Non-Toxin,0.0
KPC3_056_0,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_056_1,0.085,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_057,0.67,0.0,-0.5,0.17,Non-Toxin,0.066
KPC3_057_0,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_057_1,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_058,0.43,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_058_0,0.085,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_058_1,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_059,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_059_0,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_059_1,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_060,0.265,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_060_0,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_060_1,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_061,0.605,0.0,-0.5,0.105,Non-Toxin,0.0
KPC3_061_0,0.07,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_061_1,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_062,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_062_0,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_062_1,0.265,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_063,0.475,0.5,-0.5,0.475,Toxin,0.464
KPC3_063_0,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_063_1,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_064,0.305,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_064_0,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_064_1,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_065,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_065_0,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_065_1,0.09,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_066,0.405,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_066_0,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_066_1,0.14,0.0,0.0,0.14,Non-Toxin,0.026
KPC3_067,0.515,0.0,-0.5,0.015,Non-Toxin,0.0
KPC3_067_0,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_067_1,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_068,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
KPC3_068_0,0.385,0.0,-0.5,0.0,Non-Toxin,0.0
