Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
seq_rank_1,0.175,0.0,0.0,0.175,Non-Toxin,0.072
seq_rank_10,0.16,0.0,0.0,0.16,Non-Toxin,0.053
seq_rank_100,0.405,0.0,0.0,0.405,Toxin,0.373
seq_rank_11,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_12,0.09,0.0,0.0,0.09,Non-Toxin,0.0
seq_rank_13,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_14,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_15,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_16,0.235,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_17,0.105,0.0,0.0,0.105,Non-Toxin,0.0
seq_rank_18,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_19,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_2,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_20,0.405,0.0,0.0,0.405,Toxin,0.373
seq_rank_21,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_22,0.385,0.0,0.0,0.385,Toxin,0.347
seq_rank_23,0.455,0.0,0.0,0.455,Toxin,0.438
seq_rank_24,0.17,0.0,0.0,0.17,Non-Toxin,0.066
seq_rank_25,0.2,0.0,0.0,0.2,Non-Toxin,0.105
seq_rank_26,0.085,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_27,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_28,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_29,0.305,0.0,0.0,0.305,Non-Toxin,0.242
seq_rank_3,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_30,0.33,0.0,0.0,0.33,Non-Toxin,0.275
seq_rank_31,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_32,0.235,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_33,0.18,0.0,0.0,0.18,Non-Toxin,0.079
seq_rank_34,0.28,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_35,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_36,0.285,0.0,0.0,0.285,Non-Toxin,0.216
seq_rank_37,0.275,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_38,0.215,0.0,0.0,0.215,Non-Toxin,0.124
seq_rank_39,0.315,0.0,0.0,0.315,Non-Toxin,0.255
seq_rank_4,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_40,0.325,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_41,0.34,0.0,0.0,0.34,Non-Toxin,0.288
seq_rank_42,0.23,0.0,0.0,0.23,Non-Toxin,0.144
seq_rank_43,0.25,0.0,0.0,0.25,Non-Toxin,0.17
seq_rank_44,0.31,0.0,0.0,0.31,Non-Toxin,0.249
seq_rank_45,0.26,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_46,0.26,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_47,0.245,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_48,0.16,0.0,0.0,0.16,Non-Toxin,0.053
seq_rank_49,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_5,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_50,0.18,0.0,0.0,0.18,Non-Toxin,0.079
