Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
sample_0,0.84,0.0,-0.5,0.34,Non-Toxin,0.288
sample_1,0.395,0.0,-0.5,0.0,Non-Toxin,0.0
sample_10,0.34,0.0,0.0,0.34,Non-Toxin,0.288
sample_11,0.245,0.0,-0.5,0.0,Non-Toxin,0.0
sample_12,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
sample_13,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
sample_14,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
sample_15,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
sample_16,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
sample_17,0.38,0.0,-0.5,0.0,Non-Toxin,0.0
sample_18,0.07,0.0,-0.5,0.0,Non-Toxin,0.0
sample_19,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
sample_2,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
sample_20,0.25,0.0,0.0,0.25,Non-Toxin,0.17
sample_21,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
sample_22,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
sample_23,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
sample_24,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
sample_25,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
sample_26,0.285,0.0,-0.5,0.0,Non-Toxin,0.0
sample_27,0.25,0.0,-0.5,0.0,Non-Toxin,0.0
sample_28,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
sample_29,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
sample_3,0.25,0.0,-0.5,0.0,Non-Toxin,0.0
sample_30,0.25,0.0,-0.5,0.0,Non-Toxin,0.0
sample_31,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
sample_32,0.135,0.0,0.0,0.135,Non-Toxin,0.02
sample_33,0.48,0.0,-0.5,0.0,Non-Toxin,0.0
sample_34,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
sample_35,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
sample_36,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
sample_37,0.315,0.0,-0.5,0.0,Non-Toxin,0.0
sample_38,0.41,0.0,0.0,0.41,Toxin,0.379
sample_39,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
sample_4,0.335,0.0,0.0,0.335,Non-Toxin,0.281
sample_40,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
sample_41,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
sample_42,0.06,0.0,-0.5,0.0,Non-Toxin,0.0
sample_43,0.785,0.0,-0.5,0.285,Non-Toxin,0.216
sample_44,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
sample_45,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
sample_46,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
sample_47,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
sample_48,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
sample_49,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
sample_5,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
sample_6,0.38,0.0,-0.5,0.0,Non-Toxin,0.0
sample_7,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
sample_8,0.45,0.0,-0.5,0.0,Non-Toxin,0.0
sample_9,0.405,0.0,-0.5,0.0,Non-Toxin,0.0
