design_id,ipSAE_min,ipSAE_max,ipSAE_d0chn,ipSAE_d0dom,ipTM_af,pDockQ,pDockQ2,LIS,status
NDM5_006,0.0,0.0,0.0,0.0,0.383,0.2115,0.0169,0.0341,ok
NDM5_0151,0.112233,0.51448,0.7885,0.7885,0.844,0.1487,0.3404,0.5484,ok
NDM5_0151_2,0.015634,0.034872,0.335835,0.324276,0.591,0.0684,0.0352,0.1654,ok
NDM5_0210,0.011728,0.013641,0.320781,0.274197,0.429,0.2771,0.022,0.0902,ok
NDM5_0337,0.034673,0.293478,0.529316,0.527517,0.725,0.3331,0.1243,0.3285,ok
NDM5_0397,0.0,0.0,0.0,0.0,0.271,0.1115,0.0143,0.0,ok
NDM5_0425,0.0,0.0,0.0,0.0,0.362,0.1577,0.0183,0.0356,ok
NDM5_0481,0.0,0.010807,0.263024,0.010807,0.43,0.1353,0.0201,0.0496,ok
NDM5_0483,0.038702,0.256248,0.466174,0.457215,0.711,0.1521,0.1039,0.2898,ok
NDM5_0489,0.0,0.0,0.0,0.0,0.227,0.1316,0.014,0.0,ok
NDM5_0573,0.0,0.0,0.0,0.0,0.345,0.1556,0.018,0.0096,ok
NDM5_0637,0.051101,0.440018,0.598795,0.598795,0.756,0.3765,0.14,0.4142,ok
NDM5_0638,0.012005,0.012328,0.286686,0.079754,0.471,0.178,0.0265,0.0839,ok
NDM5_0663,0.0,0.011384,0.279652,0.011384,0.325,0.1332,0.0149,0.0319,ok
NDM5_0692,0.0,0.011476,0.283378,0.034615,0.347,0.1472,0.0151,0.0437,ok
NDM5_0698,0.011021,0.011507,0.283914,0.07006,0.436,0.34,0.0206,0.0726,ok
NDM5_0721,0.034157,0.205706,0.513211,0.512308,0.693,0.1476,0.0899,0.3011,ok
NDM5_0758,0.0,0.011475,0.282667,0.055255,0.409,0.2246,0.02,0.0469,ok
NDM5_0759,0.0175,0.031925,0.374258,0.35269,0.517,0.1117,0.036,0.1352,ok
NDM5_0781,0.0,0.011239,0.269225,0.011239,0.356,0.1261,0.0167,0.0657,ok
NDM5_0846,0.020293,0.079342,0.385394,0.377407,0.57,0.0932,0.0408,0.1898,ok
NDM5_0933,0.0,0.0,0.0,0.0,0.3,0.1799,0.0155,0.0215,ok
NDM5_0997,0.0,0.010923,0.271308,0.010923,0.383,0.1309,0.0183,0.0389,ok
NDM5_1052,0.0,0.0127,0.293679,0.0127,0.419,0.1446,0.0217,0.0479,ok
NDM5_105_1,0.083612,0.55695,0.735999,0.735268,0.846,0.3889,0.3366,0.5038,ok
NDM5_1149,0.0,0.0,0.0,0.0,0.235,0.1169,0.0123,0.0,ok
NDM5_1206,0.012899,0.015435,0.337767,0.317095,0.489,0.1292,0.0493,0.148,ok
NDM5_1294,0.0,0.0,0.0,0.0,0.384,0.1288,0.0184,0.0261,ok
NDM5_1354,0.015516,0.043309,0.347178,0.31093,0.512,0.1927,0.0478,0.1622,ok
NDM5_1358,0.0,0.0,0.0,0.0,0.24,0.1041,0.0138,0.0096,ok
NDM5_1386,0.016951,0.111887,0.356324,0.343659,0.635,0.1264,0.0617,0.1924,ok
NDM5_1387,0.0,0.0,0.0,0.0,0.354,0.1042,0.0176,0.0285,ok
NDM5_1414,0.0,0.012552,0.287344,0.141177,0.419,0.2157,0.0215,0.0645,ok
NDM5_1416,0.09874,0.521708,0.765434,0.765434,0.842,0.2567,0.2232,0.5165,ok
NDM5_1471,0.025308,0.150151,0.441555,0.43981,0.674,0.2195,0.078,0.2378,ok
NDM5_1472,0.0,0.0,0.0,0.0,0.246,0.2172,0.0139,0.0091,ok
NDM5_1479,0.021389,0.261419,0.407361,0.406494,0.688,0.1405,0.0566,0.257,ok
NDM5_155_1,0.0,0.0,0.0,0.0,0.426,0.2088,0.018,0.0419,ok
NDM5_163_0,0.01706,0.030568,0.357371,0.341209,0.595,0.277,0.042,0.1855,ok
NDM5_173,0.082018,0.445608,0.569645,0.559697,0.712,0.332,0.1007,0.3785,ok
NDM5_195,0.011865,0.013744,0.307039,0.271636,0.526,0.1994,0.0259,0.0996,ok
NDM5_1980,0.085306,0.477056,0.551949,0.546199,0.762,0.1432,0.0845,0.3984,ok
NDM5_2040,0.011696,0.013212,0.300132,0.104437,0.523,0.1645,0.0418,0.1107,ok
NDM5_2071,0.0,0.012444,0.296719,0.141472,0.382,0.1505,0.0175,0.0573,ok
