Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
NDM5_000,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0000,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0000_2,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0001,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0002,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0003,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0003_2,0.23,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0004,0.72,0.0,0.0,0.72,Toxin,0.784
NDM5_0005,0.205,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0006,0.14,0.0,0.0,0.14,Non-Toxin,0.026
NDM5_0006_2,0.07,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0007,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0008,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0009,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0009_2,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_000_0,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_000_1,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_001,0.315,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_001_0,0.2,0.0,0.0,0.2,Non-Toxin,0.105
NDM5_001_1,0.135,0.0,0.0,0.135,Non-Toxin,0.02
NDM5_002,0.425,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_002_0,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_002_1,0.1,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_003,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0030,0.25,0.0,0.0,0.25,Non-Toxin,0.17
NDM5_0031,0.115,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0032,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0032_2,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0033,0.115,0.0,0.0,0.115,Non-Toxin,0.0
NDM5_0034,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0035,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0035_2,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0036,0.39,0.0,0.0,0.39,Toxin,0.353
NDM5_0037,0.365,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0038,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0038_2,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0039,0.11,0.0,0.0,0.11,Non-Toxin,0.0
NDM5_003_0,0.045,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_003_1,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_004,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_004_0,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_004_1,0.205,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_005,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_005_0,0.185,0.0,0.0,0.185,Non-Toxin,0.085
NDM5_005_1,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_006,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0060,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0061,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0061_2,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0062,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0063,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0064,0.1,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0064_2,0.205,0.0,-0.5,0.0,Non-Toxin,0.0
NDM5_0065,0.085,0.0,-0.5,0.0,Non-Toxin,0.0
