Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
rand_1,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
rand_10,0.5,0.0,-0.5,0.0,Non-Toxin,0.0
rand_100,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
rand_101,0.42,0.0,-0.5,0.0,Non-Toxin,0.0
rand_102,0.395,0.0,0.0,0.395,Toxin,0.36
rand_103,0.74,0.0,0.0,0.74,Toxin,0.811
rand_104,0.355,0.0,-0.5,0.0,Non-Toxin,0.0
rand_105,0.545,0.0,-0.5,0.045,Non-Toxin,0.0
rand_106,0.17,0.0,0.0,0.17,Non-Toxin,0.066
rand_107,0.635,0.0,0.0,0.635,Toxin,0.673
rand_108,0.15,0.0,0.0,0.15,Non-Toxin,0.039
rand_109,0.86,0.0,0.0,0.86,Toxin,0.967
rand_11,0.53,0.0,-0.5,0.03,Non-Toxin,0.0
rand_110,0.73,0.0,-0.5,0.23,Non-Toxin,0.144
rand_111,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
rand_112,0.7,0.5,-0.5,0.7,Toxin,0.758
rand_113,0.495,0.0,-0.5,0.0,Non-Toxin,0.0
rand_114,0.33,0.0,-0.5,0.0,Non-Toxin,0.0
rand_115,0.26,0.0,0.0,0.26,Non-Toxin,0.183
rand_116,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
rand_117,0.43,0.0,-0.5,0.0,Non-Toxin,0.0
rand_118,0.83,0.0,-0.5,0.33,Non-Toxin,0.275
rand_119,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
rand_12,0.39,0.0,-0.5,0.0,Non-Toxin,0.0
rand_120,0.23,0.0,0.0,0.23,Non-Toxin,0.144
rand_121,0.51,0.0,0.0,0.51,Toxin,0.51
rand_122,0.435,0.0,0.0,0.435,Toxin,0.412
rand_123,0.43,0.0,0.0,0.43,Toxin,0.405
rand_124,0.34,0.0,-0.5,0.0,Non-Toxin,0.0
rand_125,0.335,0.0,-0.5,0.0,Non-Toxin,0.0
rand_126,0.48,0.0,-0.5,0.0,Non-Toxin,0.0
rand_127,0.09,0.0,-0.5,0.0,Non-Toxin,0.0
rand_128,0.28,0.0,0.0,0.28,Non-Toxin,0.209
rand_129,0.33,0.0,-0.5,0.0,Non-Toxin,0.0
rand_13,0.465,0.0,-0.5,0.0,Non-Toxin,0.0
rand_130,0.315,0.0,-0.5,0.0,Non-Toxin,0.0
rand_131,0.48,0.0,0.0,0.48,Toxin,0.471
rand_132,0.415,0.0,0.0,0.415,Toxin,0.386
rand_133,0.24,0.0,0.0,0.24,Non-Toxin,0.157
rand_134,0.375,0.0,-0.5,0.0,Non-Toxin,0.0
rand_135,0.625,0.0,-0.5,0.125,Non-Toxin,0.007
rand_136,0.375,0.0,-0.5,0.0,Non-Toxin,0.0
rand_137,0.4,0.0,-0.5,0.0,Non-Toxin,0.0
rand_138,0.51,0.0,-0.5,0.01,Non-Toxin,0.0
rand_139,0.515,0.0,-0.5,0.015,Non-Toxin,0.0
rand_14,0.135,0.0,0.0,0.135,Non-Toxin,0.02
rand_140,0.42,0.0,0.0,0.42,Toxin,0.392
rand_141,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
rand_142,0.345,0.0,-0.5,0.0,Non-Toxin,0.0
rand_143,0.465,0.0,-0.5,0.0,Non-Toxin,0.0
rand_144,0.49,0.0,-0.5,0.0,Non-Toxin,0.0
rand_145,0.215,0.0,0.0,0.215,Non-Toxin,0.124
rand_146,0.675,0.0,-0.5,0.175,Non-Toxin,0.072
rand_147,0.495,0.0,0.0,0.495,Toxin,0.49
rand_148,0.295,0.0,0.0,0.295,Non-Toxin,0.229
rand_149,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
rand_15,0.3,0.0,-0.5,0.0,Non-Toxin,0.0
rand_150,0.745,0.0,0.0,0.745,Toxin,0.817
rand_151,0.345,0.0,0.0,0.345,Non-Toxin,0.294
rand_152,0.78,0.5,0.0,1.0,Toxin,1.0
rand_153,0.75,0.0,-0.5,0.25,Non-Toxin,0.17
rand_154,0.395,0.0,-0.5,0.0,Non-Toxin,0.0
rand_155,0.515,0.0,-0.5,0.015,Non-Toxin,0.0
rand_156,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
rand_157,0.815,0.5,0.0,1.0,Toxin,1.0
rand_158,0.33,0.0,0.0,0.33,Non-Toxin,0.275
rand_159,0.25,0.0,-0.5,0.0,Non-Toxin,0.0
rand_16,0.295,0.0,0.0,0.295,Non-Toxin,0.229
rand_160,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
rand_161,0.495,0.5,-0.5,0.495,Toxin,0.49
rand_162,0.48,0.0,0.0,0.48,Toxin,0.471
rand_163,0.415,0.0,0.0,0.415,Toxin,0.386
rand_164,0.11,0.0,0.0,0.11,Non-Toxin,0.0
rand_165,0.43,0.0,-0.5,0.0,Non-Toxin,0.0
rand_166,0.205,0.0,-0.5,0.0,Non-Toxin,0.0
rand_167,0.295,0.0,-0.5,0.0,Non-Toxin,0.0
rand_168,0.52,0.5,0.0,1.0,Toxin,1.0
rand_169,0.19,0.0,0.0,0.19,Non-Toxin,0.092
rand_17,0.545,0.0,0.0,0.545,Toxin,0.556
