Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
seq_rank_1,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_10,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_100,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_11,0.28,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_12,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_13,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_14,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_15,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_16,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_17,0.09,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_18,0.355,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_19,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_2,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_20,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_21,0.165,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_22,0.18,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_23,0.31,0.0,0.0,0.31,Non-Toxin,0.249
seq_rank_24,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_25,0.14,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_26,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_27,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_28,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_29,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_3,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_30,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_31,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_32,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_33,0.2,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_34,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_35,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_36,0.1,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_37,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_38,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_39,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_4,0.07,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_40,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_41,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_42,0.115,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_43,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_44,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_45,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_46,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_47,0.105,0.0,-0.5,0.0,Non-Toxin,0.0
