design_id,length,net_charge_pH7.4,gravy,hydrophobic_moment,aggregation_proxy,cys_count,delivery_proxy,n_liabilities,liabilities
NDM5_design_1726,38,0.01,-0.85,0.683,0.457,0,0.501,0,
NDM5_design_0669,45,-6.02,-0.244,0.521,1.171,0,0.434,0,
NDM5_design_4313,40,0.64,-0.757,0.66,0.971,3,0.554,2,odd_Cys(free_thiol);3_Cys
NDM5_design_4428,34,-2.13,-0.55,0.753,1.014,1,0.5,1,odd_Cys(free_thiol)
NDM5_design_3925,37,-1.02,-0.684,0.711,0.129,0,0.5,1,homopolymer_run>=4
NDM5_design_3923,37,0.98,-0.751,0.652,0.729,0,0.581,0,
NDM5_design_1512,36,1.97,-0.544,0.683,0.471,0,0.664,1,motif_NG
NDM5_design_0978,40,-1.99,-0.71,0.683,1.314,0,0.5,2,N-term_Q/E(pyroglutamate);motif_DP
NDM5_design_3566,40,0.02,-1.158,0.8,0.543,0,0.501,0,
NDM5_design_4894,40,-2.02,-0.16,0.645,1.429,0,0.5,1,motif_DP
NDM5_design_1836,40,-1.14,-0.232,0.556,1.057,1,0.463,3,odd_Cys(free_thiol);N-term_Q/E(pyroglutamate);motif_DG
NDM5_design_1755,38,-3.03,-0.571,0.621,1.286,0,0.5,2,motif_DP;homopolymer_run>=4
NDM5_design_4121,36,-4.14,-0.919,0.662,0.471,1,0.5,2,odd_Cys(free_thiol);N-term_Met(ox)
NDM5_design_2416,38,-4.02,-0.824,0.391,1.1,0,0.326,1,motif_DG
NDM5_design_1600,41,-7.02,-0.305,0.565,1.9,0,0.471,0,
NDM5_design_0089,38,-3.02,-0.75,0.551,0.971,0,0.459,0,
NDM5_design_1555,35,-5.25,-0.183,0.444,0.871,2,0.37,0,
NDM5_design_2204,43,0.97,-0.853,0.659,0.914,0,0.581,0,
NDM5_design_3086,39,-3.02,0.172,0.552,2.157,0,0.46,3,N-term_Met(ox);motif_DP;homopolymer_run>=4
NDM5_design_1602,41,-2.02,0.641,0.7,2.143,0,0.5,1,N-term_Q/E(pyroglutamate)
NDM5_design_1241,38,-2.25,-0.582,0.781,0.271,2,0.5,1,N-term_Met(ox)
NDM5_design_1572,41,-5.02,-0.415,0.799,0.929,0,0.5,2,N-term_Met(ox);motif_DP
NDM5_design_4708,35,-0.14,-0.457,0.645,1.286,1,0.5,1,odd_Cys(free_thiol)
NDM5_design_0667,45,-7.02,-0.598,0.606,1.6,0,0.5,0,
NDM5_design_2803,38,-4.02,0.389,0.481,1.443,0,0.4,0,
NDM5_design_4176,42,-5.02,-0.75,0.51,1.4,0,0.425,0,
NDM5_design_1643,43,-8.02,-0.44,0.78,1.514,0,0.5,1,N-term_Q/E(pyroglutamate)
NDM5_design_2200,43,-2.02,-0.165,0.623,1.7,0,0.5,0,
NDM5_design_2659,40,-2.02,-0.312,0.724,0.829,0,0.5,0,
NDM5_design_1022,33,-2.03,-1.382,0.57,-0.214,0,0.475,1,motif_DG
NDM5_design_2187,39,-2.03,-0.226,0.455,1.043,0,0.379,3,N-term_Q/E(pyroglutamate);motif_NG;motif_DG
NDM5_design_1592,44,-7.13,0.436,0.478,2.0,1,0.399,1,odd_Cys(free_thiol)
NDM5_design_2085,35,-2.02,-0.643,0.681,0.657,0,0.5,0,
NDM5_design_1620,43,-1.99,-0.058,0.323,2.357,0,0.269,1,motif_DG
NDM5_design_2080,35,2.98,0.117,0.617,1.157,0,0.748,1,N-term_Q/E(pyroglutamate)
NDM5_design_1779,42,-6.02,-0.84,0.72,0.886,0,0.5,0,
NDM5_design_2752,41,-5.98,-0.72,0.667,1.486,0,0.5,0,
NDM5_design_1016,33,-2.14,0.664,0.375,2.0,1,0.313,1,odd_Cys(free_thiol)
NDM5_design_1875,42,-3.03,-0.681,0.643,0.629,0,0.5,0,
NDM5_design_1077,43,-4.02,-0.691,0.726,1.314,0,0.5,1,N-term_Q/E(pyroglutamate)
NDM5_design_2657,40,-3.02,-0.637,0.748,0.557,0,0.5,0,
NDM5_design_1596,44,-0.02,-0.55,0.864,1.257,0,0.5,1,N-term_Q/E(pyroglutamate)
NDM5_design_1073,43,-0.95,-0.481,0.6,1.529,0,0.5,1,N-term_Met(ox)
NDM5_design_3217,40,-3.02,-0.477,0.483,1.471,0,0.402,0,
NDM5_design_3128,33,-1.03,-0.758,0.731,0.529,0,0.5,0,
NDM5_design_1932,28,-0.13,0.057,0.832,1.486,1,0.5,1,odd_Cys(free_thiol)
NDM5_design_0475,44,-6.03,-0.402,0.611,0.6,0,0.5,0,
NDM5_design_1560,27,-1.02,0.096,0.638,1.186,0,0.5,0,
NDM5_design_0807,38,-4.02,-1.05,0.837,0.829,0,0.5,1,motif_DP
NDM5_design_3220,40,-5.02,-0.362,0.727,0.814,0,0.5,0,
NDM5_design_2894,45,-1.99,-0.927,0.659,1.543,0,0.5,0,
NDM5_design_1111,40,-7.02,-0.215,0.414,1.543,0,0.345,0,
NDM5_design_2000,44,-0.03,-0.418,0.747,1.486,0,0.5,0,
NDM5_design_1846,36,-4.02,0.511,0.483,1.986,0,0.403,1,motif_DG
