design_id,ipSAE_min,ipSAE_max,ipSAE_d0chn,ipSAE_d0dom,ipTM_af,pDockQ,pDockQ2,LIS,status
KPC3_030,0.0,0.0,0.0,0.0,0.343,0.2995,0.0168,0.025,ok
KPC3_030_1,0.022103,0.057069,0.440573,0.435342,0.611,0.335,0.0572,0.2241,ok
KPC3_035,0.023617,0.072841,0.45829,0.449847,0.628,0.2375,0.0509,0.2227,ok
KPC3_037,0.011939,0.013075,0.32629,0.074165,0.563,0.1402,0.0247,0.0822,ok
KPC3_058_1,0.011243,0.012099,0.320364,0.107689,0.477,0.3507,0.022,0.0593,ok
KPC3_064,0.019422,0.03814,0.339756,0.319988,0.597,0.3295,0.0316,0.121,ok
KPC3_072_1,0.041745,0.36769,0.576431,0.572694,0.692,0.1473,0.1068,0.3544,ok
KPC3_077_0,0.074506,0.330139,0.728665,0.726786,0.805,0.2685,0.1831,0.4143,ok
KPC3_077_1,0.037636,0.127303,0.556625,0.55283,0.663,0.3343,0.1066,0.302,ok
KPC3_086_1,0.013123,0.02298,0.437093,0.432363,0.583,0.3571,0.08,0.2202,ok
KPC3_097_0,0.029743,0.046027,0.609738,0.606676,0.724,0.3149,0.1991,0.3449,ok
KPC3_097_1,0.012144,0.019872,0.409814,0.403426,0.57,0.2107,0.0569,0.195,ok
KPC3_100,0.0,0.0,0.0,0.0,0.405,0.2104,0.0188,0.0311,ok
KPC3_102,0.05273,0.340794,0.527809,0.52275,0.7,0.3085,0.0616,0.2775,ok
KPC3_105,0.026436,0.116661,0.46763,0.451715,0.534,0.4043,0.0356,0.1832,ok
KPC3_108_1,0.011,0.012602,0.324126,0.225281,0.47,0.3075,0.0236,0.072,ok
KPC3_115,0.155547,0.624428,0.714358,0.712125,0.823,0.4185,0.185,0.4621,ok
KPC3_117,0.05168,0.276189,0.486606,0.476623,0.725,0.0689,0.0507,0.2517,ok
KPC3_120,0.053074,0.414919,0.604364,0.589741,0.626,0.5088,0.0721,0.346,ok
KPC3_120_0,0.0,0.011977,0.314797,0.217331,0.451,0.2877,0.0221,0.0651,ok
KPC3_120_1,0.012641,0.015677,0.374357,0.350443,0.469,0.357,0.0281,0.1358,ok
KPC3_123,0.0,0.01074,0.291681,0.01074,0.439,0.3933,0.0181,0.0342,ok
KPC3_128,0.080786,0.355593,0.507981,0.505081,0.727,0.2843,0.0684,0.2889,ok
KPC3_135_1,0.010733,0.013963,0.333025,0.31059,0.466,0.2518,0.0278,0.0979,ok
KPC3_139_1,0.0,0.012065,0.301968,0.012065,0.433,0.1415,0.017,0.0516,ok
KPC3_140,0.0,0.011439,0.301225,0.063283,0.437,0.2648,0.0201,0.0604,ok
KPC3_140_0,0.0,0.011792,0.307755,0.090496,0.474,0.3078,0.0251,0.0649,ok
KPC3_144,0.0,0.0,0.0,0.0,0.325,0.2088,0.0136,0.0,ok
KPC3_153,0.010969,0.012512,0.320623,0.155167,0.327,0.2083,0.0165,0.0702,ok
KPC3_154_0,0.011311,0.013694,0.339719,0.319248,0.531,0.2619,0.032,0.1127,ok
KPC3_155_1,0.031286,0.037564,0.367804,0.36143,0.628,0.306,0.0432,0.1696,ok
KPC3_160,0.0,0.013631,0.336795,0.310897,0.493,0.2476,0.0269,0.0981,ok
KPC3_160_1,0.0,0.0,0.0,0.0,0.409,0.2681,0.0199,0.0338,ok
KPC3_163_0,0.01244,0.01602,0.372364,0.345291,0.48,0.3045,0.0285,0.1292,ok
KPC3_170_0,0.013581,0.019281,0.411981,0.4021,0.588,0.3068,0.0483,0.1814,ok
KPC3_170_1,0.013241,0.016943,0.381345,0.375472,0.588,0.2721,0.043,0.18,ok
KPC3_173_1,0.0,0.014293,0.345216,0.328505,0.48,0.2681,0.0296,0.1053,ok
KPC3_180_0,0.01127,0.01166,0.311564,0.01166,0.453,0.2627,0.0173,0.061,ok
KPC3_198_1,0.022281,0.195365,0.451356,0.44431,0.706,0.2463,0.0792,0.2554,ok
KPC3_200_0,0.0,0.012905,0.328756,0.28636,0.509,0.2905,0.0241,0.0782,ok
KPC3_200_1,0.0,0.013274,0.335498,0.288541,0.441,0.2672,0.0224,0.0661,ok
KPC3_201_0,0.0,0.0,0.0,0.0,0.292,0.3003,0.0148,0.0,ok
KPC3_204,0.015367,0.072418,0.366944,0.341465,0.542,0.192,0.0297,0.1498,ok
KPC3_204_0,0.012232,0.013748,0.34285,0.276667,0.473,0.2597,0.0208,0.1151,ok
KPC3_204_1,0.0,0.0,0.0,0.0,0.39,0.2502,0.0154,0.0,ok
KPC3_215_0,0.0,0.010883,0.288221,0.010883,0.406,0.1797,0.0175,0.0417,ok
KPC3_215_1,0.034094,0.321376,0.545514,0.540324,0.692,0.3128,0.0801,0.3077,ok
KPC3_217_1,0.011332,0.01213,0.311249,0.01213,0.527,0.2337,0.0243,0.0561,ok
KPC3_230,0.025654,0.289588,0.483095,0.477702,0.71,0.2041,0.0699,0.2806,ok
KPC3_232_1,0.0,0.011633,0.300767,0.106721,0.41,0.2298,0.0196,0.0594,ok
KPC3_234,0.037277,0.295456,0.537903,0.532162,0.615,0.2174,0.0848,0.2954,ok
KPC3_234_0,0.013113,0.021172,0.43698,0.426962,0.589,0.3838,0.0489,0.1864,ok
KPC3_234_1,0.028058,0.150448,0.464093,0.460312,0.663,0.2976,0.0619,0.2474,ok
KPC3_237_0,0.013477,0.018666,0.406922,0.402433,0.616,0.1803,0.0444,0.2025,ok
KPC3_245_1,0.022201,0.16299,0.423136,0.414174,0.644,0.3237,0.0637,0.1889,ok
KPC3_247,0.011262,0.011547,0.30002,0.01643,0.405,0.2862,0.0201,0.0644,ok
KPC3_260,0.059366,0.3669,0.68153,0.679554,0.797,0.2606,0.1413,0.3988,ok
KPC3_263,0.020923,0.23206,0.433592,0.430548,0.699,0.1705,0.0748,0.244,ok
KPC3_273_0,0.025481,0.097283,0.476698,0.472866,0.667,0.274,0.0703,0.262,ok
KPC3_273_1,0.02109,0.045376,0.434636,0.427705,0.599,0.2015,0.0431,0.2148,ok
KPC3_274,0.0,0.0,0.0,0.0,0.438,0.1523,0.0194,0.0269,ok
KPC3_274_0,0.01361,0.020491,0.425686,0.418038,0.569,0.3283,0.0467,0.2051,ok
KPC3_277,0.019041,0.02437,0.406579,0.392847,0.562,0.2171,0.0343,0.1734,ok
KPC3_278,0.0,0.012151,0.308886,0.08989,0.349,0.4437,0.0179,0.0576,ok
KPC3_292_0,0.064058,0.104956,0.39845,0.39429,0.668,0.2324,0.0416,0.1953,ok
KPC3_299_0,0.012764,0.013214,0.339559,0.300825,0.549,0.2028,0.0247,0.1001,ok
KPC3_300_0,0.023735,0.138071,0.450512,0.447472,0.657,0.2059,0.0576,0.2485,ok
KPC3_300_1,0.030841,0.252447,0.502313,0.498629,0.683,0.1787,0.0609,0.2824,ok
KPC3_306,0.0,0.011588,0.30012,0.011588,0.442,0.0777,0.0201,0.0488,ok
KPC3_316_1,0.0,0.0,0.0,0.0,0.422,0.3001,0.0172,0.0343,ok
KPC3_330_0,0.012568,0.0137,0.34191,0.303392,0.46,0.2649,0.0221,0.1081,ok
KPC3_333,0.011993,0.013719,0.34337,0.263264,0.377,0.2123,0.0164,0.0863,ok
KPC3_354,0.124111,0.504747,0.673129,0.670524,0.816,0.3226,0.1712,0.4738,ok
KPC3_357,0.012243,0.012251,0.31735,0.09216,0.51,0.1943,0.0228,0.0715,ok
KPC3_360,0.08924,0.388544,0.686866,0.685604,0.802,0.3381,0.1537,0.4069,ok
KPC3_369_1,0.0,0.0,0.0,0.0,0.353,0.2153,0.0149,0.0039,ok
KPC3_373_0,0.147683,0.510396,0.644806,0.64164,0.769,0.3026,0.0917,0.3954,ok
KPC3_378,0.0,0.0,0.0,0.0,0.425,0.1741,0.0166,0.0279,ok
KPC3_378_0,0.019053,0.160264,0.418579,0.392651,0.562,0.294,0.0277,0.1911,ok
KPC3_384_0,0.0,0.013935,0.334621,0.298627,0.45,0.3777,0.027,0.1057,ok
KPC3_384_1,0.028926,0.050653,0.499386,0.495475,0.659,0.2661,0.0856,0.2666,ok
KPC3_391_0,0.067054,0.345419,0.645328,0.642594,0.783,0.2447,0.1313,0.3686,ok
KPC3_399_0,0.0,0.011644,0.301802,0.011644,0.492,0.3556,0.0243,0.0421,ok
KPC3_407,0.0,0.011972,0.312967,0.050536,0.404,0.3176,0.0197,0.0407,ok
KPC3_414_0,0.04634,0.295928,0.609302,0.607129,0.749,0.3739,0.1555,0.3479,ok
KPC3_419_0,0.020098,0.084619,0.414479,0.405289,0.605,0.1017,0.0555,0.2058,ok
KPC3_421,0.01175,0.013738,0.336742,0.308179,0.516,0.2083,0.0274,0.1017,ok
KPC3_421_0,0.011978,0.014652,0.350847,0.324091,0.504,0.2833,0.0303,0.1192,ok
KPC3_421_1,0.0,0.013003,0.324468,0.280721,0.414,0.2966,0.0232,0.0726,ok
KPC3_423,0.027294,0.107658,0.486428,0.478871,0.626,0.2462,0.0555,0.2348,ok
KPC3_423_1,0.024492,0.112473,0.470456,0.459586,0.587,0.3738,0.0479,0.2298,ok
KPC3_425_0,0.013975,0.020954,0.434526,0.428421,0.619,0.271,0.05,0.2134,ok
KPC3_425_1,0.0,0.012844,0.321846,0.279131,0.463,0.1852,0.0233,0.0774,ok
KPC3_428,0.060537,0.391018,0.663924,0.662635,0.759,0.279,0.1299,0.3865,ok
KPC3_430,0.013249,0.020323,0.418214,0.412091,0.572,0.2178,0.0497,0.2116,ok
KPC3_430_0,0.011082,0.011438,0.293458,0.011438,0.479,0.183,0.02,0.0537,ok
KPC3_435_1,0.042326,0.27048,0.594217,0.592,0.735,0.2061,0.1107,0.3439,ok
KPC3_445_0,0.0,0.0,0.0,0.0,0.31,0.28,0.0142,0.0231,ok
