Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
seq_rank_0,0.66,0.0,-0.5,0.16,Non-Toxin,0.053
seq_rank_1,0.33,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_10,0.175,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_11,0.24,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_12,0.315,0.0,0.0,0.315,Non-Toxin,0.255
seq_rank_13,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_14,0.69,0.0,-0.5,0.19,Non-Toxin,0.092
seq_rank_15,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_16,0.155,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_17,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_18,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_19,0.285,0.0,0.0,0.285,Non-Toxin,0.216
seq_rank_2,0.065,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_20,0.355,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_21,0.3,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_22,0.5,0.0,0.0,0.5,Toxin,0.497
seq_rank_23,0.3,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_24,0.4,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_25,0.325,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_26,0.23,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_27,0.8,0.0,-0.5,0.3,Non-Toxin,0.235
seq_rank_28,0.48,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_29,0.635,0.0,0.0,0.635,Toxin,0.673
seq_rank_3,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_30,0.38,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_31,0.265,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_32,0.3,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_33,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_34,0.235,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_35,0.27,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_36,0.21,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_37,0.195,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_38,0.215,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_39,0.34,0.0,0.0,0.34,Non-Toxin,0.288
seq_rank_4,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_40,0.305,0.0,0.0,0.305,Non-Toxin,0.242
seq_rank_41,0.125,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_42,0.11,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_43,0.075,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_44,0.36,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_45,0.255,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_46,0.41,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_47,0.425,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_48,0.29,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_49,0.37,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_5,0.32,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_50,0.05,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_51,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_52,0.385,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_53,0.16,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_54,0.26,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_55,0.405,0.0,0.0,0.405,Toxin,0.373
seq_rank_56,0.29,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_57,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_58,0.285,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_59,0.425,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_6,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_60,0.765,0.0,0.0,0.765,Toxin,0.843
seq_rank_61,0.08,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_62,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_63,0.055,0.0,0.0,0.055,Non-Toxin,0.0
seq_rank_64,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_65,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_66,0.145,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_67,0.19,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_68,0.52,0.0,-0.5,0.02,Non-Toxin,0.0
seq_rank_69,0.185,0.0,0.0,0.185,Non-Toxin,0.085
seq_rank_7,0.13,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_70,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_71,0.12,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_72,0.185,0.0,-0.5,0.0,Non-Toxin,0.0
