design_id,length,net_charge_pH7.4,gravy,hydrophobic_moment,aggregation_proxy,cys_count,delivery_proxy,n_liabilities,liabilities
KPC3_design_0077,45,-5.02,-0.207,0.48,1.871,0,0.4,0,
KPC3_design_3486,43,-4.03,-0.421,0.617,0.971,0,0.5,0,
KPC3_design_4092,44,-6.02,-0.47,0.564,1.3,0,0.47,1,homopolymer_run>=4
KPC3_design_1850,40,-3.03,0.377,0.546,2.543,0,0.455,2,motif_DP;motif_DS
KPC3_design_3670,41,-3.03,-0.517,0.669,1.057,0,0.5,0,
KPC3_design_1311,41,-4.03,-0.639,0.668,0.7,0,0.5,0,
KPC3_design_0727,37,-6.02,-0.351,0.493,0.6,0,0.411,0,
KPC3_design_1635,38,-4.02,-0.226,0.752,1.486,0,0.5,0,
KPC3_design_1604,38,-0.03,-1.139,0.598,0.243,0,0.498,0,
KPC3_design_1364,35,-3.02,-1.226,0.48,0.329,0,0.4,1,motif_NG
KPC3_design_1316,41,0.97,-0.444,0.663,1.729,0,0.581,0,
KPC3_design_3726,39,-5.03,-0.492,0.581,1.1,0,0.484,0,
KPC3_design_1769,39,-5.98,-0.379,0.607,1.243,0,0.5,1,motif_DP
KPC3_design_1622,37,-5.02,-0.846,0.554,1.057,0,0.462,1,motif_DP
KPC3_design_1878,39,-3.03,-0.246,0.611,2.186,0,0.5,0,
KPC3_design_3026,44,-4.02,-0.243,0.672,1.114,0,0.5,0,
KPC3_design_2984,44,-6.02,0.166,0.593,1.329,0,0.494,1,motif_DP
KPC3_design_1631,38,-2.25,-0.613,0.569,1.871,2,0.474,0,
KPC3_design_3582,34,-4.02,-0.088,0.574,1.3,0,0.478,0,
KPC3_design_3651,37,-2.98,-0.065,0.553,1.814,0,0.461,0,
KPC3_design_2310,39,-4.02,-0.531,0.513,1.343,0,0.427,1,motif_DP
KPC3_design_1877,39,-7.02,-1.028,0.59,0.571,0,0.491,0,
KPC3_design_2952,38,-3.02,-0.029,0.651,2.286,0,0.5,0,
KPC3_design_3597,44,-6.02,-0.457,0.585,0.843,0,0.488,0,
KPC3_design_3653,37,-0.47,-0.481,0.561,1.771,4,0.468,2,4_Cys;motif_DP
KPC3_design_4193,35,-1.03,-0.691,0.596,2.8,0,0.497,0,
KPC3_design_3984,42,-3.02,-0.436,0.597,1.471,0,0.497,1,motif_DP
KPC3_design_2960,44,1.01,-0.682,0.726,0.629,0,0.584,1,homopolymer_run>=4
KPC3_design_2966,44,-6.02,-0.964,0.691,0.814,0,0.5,1,motif_DP
KPC3_design_3201,43,-1.03,-0.4,0.669,1.114,0,0.5,0,
KPC3_design_1871,39,-0.03,-0.636,0.564,1.857,0,0.47,1,N-term_Q/E(pyroglutamate)
KPC3_design_0308,35,-3.02,-0.34,0.556,1.543,0,0.463,0,
KPC3_design_2556,41,-3.47,0.402,0.516,2.629,4,0.43,2,4_Cys;homopolymer_run>=4
KPC3_design_3091,39,1.01,-1.197,0.598,0.329,0,0.583,0,
KPC3_design_1148,21,-0.03,-1.252,0.689,0.071,0,0.5,0,
KPC3_design_1786,38,-8.02,-0.579,0.635,1.429,0,0.5,1,motif_DG
KPC3_design_1795,30,-2.03,-0.68,0.465,1.043,0,0.388,0,
KPC3_design_2003,40,-0.03,-0.317,0.7,0.871,0,0.5,0,
KPC3_design_2937,45,-1.03,-0.682,0.638,1.071,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_0066,31,-5.02,-0.6,0.524,0.771,0,0.437,1,motif_NG
KPC3_design_1926,43,-4.03,-0.626,0.613,1.271,0,0.5,0,
KPC3_design_2634,30,-7.02,-0.05,0.768,2.057,0,0.5,1,homopolymer_run>=4
KPC3_design_3681,44,-2.03,-0.493,0.802,1.414,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_1438,40,-3.25,-0.867,0.657,0.9,2,0.5,0,
KPC3_design_1338,44,-4.99,-0.457,0.651,0.771,0,0.5,0,
KPC3_design_1814,44,-6.02,0.418,0.508,2.086,0,0.423,0,
KPC3_design_3744,40,-7.02,-0.562,0.705,1.543,0,0.5,1,homopolymer_run>=4
KPC3_design_3903,41,-3.02,-0.166,0.75,1.057,0,0.5,1,motif_DP
KPC3_design_3804,41,-2.03,-1.127,0.613,0.857,0,0.5,1,motif_NG
KPC3_design_4961,39,-3.14,-0.892,0.948,0.943,1,0.5,1,odd_Cys(free_thiol)
KPC3_design_0726,37,-3.02,-0.935,0.761,0.143,0,0.5,2,N-term_Q/E(pyroglutamate);motif_DG
KPC3_design_1613,31,-3.03,-0.045,0.597,1.929,0,0.498,0,
KPC3_design_0299,37,-5.03,-0.489,0.582,2.129,0,0.485,0,
KPC3_design_1927,43,-6.13,0.079,0.58,1.743,1,0.483,1,odd_Cys(free_thiol)
KPC3_design_0123,37,-5.02,-0.227,0.587,1.243,0,0.489,1,motif_DS
KPC3_design_0448,42,-3.03,-0.395,0.664,1.071,0,0.5,0,
KPC3_design_0728,37,-6.02,-0.808,0.623,0.329,0,0.5,1,motif_NG
KPC3_design_1872,39,-4.02,-0.451,0.743,1.671,0,0.5,1,motif_DP
KPC3_design_0908,20,-2.03,-0.775,0.448,0.471,0,0.373,0,
KPC3_design_1762,39,-2.02,-0.354,0.736,0.814,0,0.5,0,
KPC3_design_2931,45,-3.03,-0.938,0.642,1.029,0,0.5,1,homopolymer_run>=4
KPC3_design_0674,44,-6.98,-0.395,0.592,2.1,0,0.493,0,
KPC3_design_2009,40,-3.03,-0.435,0.703,1.0,0,0.5,0,
KPC3_design_0265,39,-3.02,-0.21,0.714,1.414,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_3774,45,-7.13,0.322,0.608,2.086,1,0.5,2,odd_Cys(free_thiol);motif_DP
KPC3_design_0719,39,-1.99,-0.451,0.755,1.157,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_2613,28,-5.02,0.318,0.448,1.471,0,0.373,0,
KPC3_design_4722,19,-3.03,-0.921,0.455,0.414,0,0.379,0,
KPC3_design_3629,24,-4.02,0.004,0.227,1.371,0,0.189,1,motif_DP
KPC3_design_2066,37,-5.02,-0.657,0.53,1.714,0,0.442,1,motif_DS
KPC3_design_3245,35,-3.03,-0.729,0.608,0.714,0,0.5,2,motif_DP;homopolymer_run>=4
KPC3_design_3329,26,-3.02,-0.854,0.591,0.529,0,0.493,0,
KPC3_design_2618,28,-4.02,-0.304,0.587,1.371,0,0.489,0,
