design_id,length,net_charge_pH7.4,gravy,hydrophobic_moment,aggregation_proxy,cys_count,delivery_proxy,n_liabilities,liabilities
NDM5_000,39,-1.03,0.023,0.296,1.2,0,0.247,1,motif_DS
NDM5_001,39,-3.1,-0.005,0.471,1.7,1,0.392,2,odd_Cys(free_thiol);motif_DP
NDM5_002,39,-2.17,-0.028,0.453,1.557,2,0.378,1,motif_DS
NDM5_003,39,-1.02,0.579,0.554,1.629,0,0.462,0,
NDM5_004,39,-1.99,0.005,0.297,1.5,0,0.248,2,motif_DG;motif_DP
NDM5_005,39,-5.02,0.449,0.304,1.614,0,0.253,2,N-term_Q/E(pyroglutamate);motif_DG
NDM5_006,39,2.97,-0.356,0.678,1.3,0,0.748,0,
NDM5_007,39,-4.02,0.079,0.48,2.514,0,0.4,1,motif_DG
NDM5_008,39,-2.25,0.351,0.359,1.729,2,0.299,1,motif_DG
NDM5_009,39,-4.36,-0.421,0.374,0.514,3,0.312,2,odd_Cys(free_thiol);3_Cys
NDM5_010,43,-1.14,0.651,0.341,1.671,1,0.284,3,odd_Cys(free_thiol);motif_DG;homopolymer_run>=4
NDM5_011,43,-4.02,0.447,0.812,1.957,0,0.5,1,motif_DG
NDM5_012,43,1.98,0.193,0.547,1.957,0,0.621,1,motif_NG
NDM5_013,43,-1.77,0.047,0.481,1.243,7,0.401,3,odd_Cys(free_thiol);7_Cys;N-term_Q/E(pyroglutamate)
NDM5_014,43,-4.32,0.144,0.561,1.157,3,0.467,5,odd_Cys(free_thiol);3_Cys;motif_NG;motif_DG;motif_NS
NDM5_015,43,-1.03,-0.002,0.362,1.343,0,0.302,1,motif_DG
NDM5_016,43,-5.02,0.235,0.278,1.471,0,0.232,1,motif_DG
NDM5_017,43,-0.81,0.2,0.401,1.029,7,0.334,2,odd_Cys(free_thiol);7_Cys
NDM5_018,43,2.01,-0.009,0.67,1.886,0,0.667,2,N-term_Met(ox);oxidation_prone(M/W)
NDM5_019,43,0.86,0.705,0.44,1.9,1,0.439,2,odd_Cys(free_thiol);homopolymer_run>=4
NDM5_020,19,-2.02,0.063,0.256,0.771,0,0.213,1,homopolymer_run>=4
NDM5_021,19,-3.02,-1.232,0.424,0.257,0,0.353,1,motif_NS
NDM5_022,19,-0.02,0.158,0.329,1.171,0,0.274,2,motif_NG;motif_DS
NDM5_023,19,-0.02,-0.5,0.484,0.757,0,0.404,1,motif_DG
NDM5_024,19,-0.03,-0.711,0.48,0.1,0,0.4,1,motif_DG
NDM5_025,19,-0.99,-0.258,0.163,1.571,0,0.136,1,motif_DP
NDM5_026,19,-2.02,-0.232,0.531,1.071,0,0.442,2,N-term_Q/E(pyroglutamate);motif_DG
NDM5_027,19,-1.1,0.789,0.227,1.4,1,0.189,2,odd_Cys(free_thiol);motif_DG
NDM5_028,19,-2.02,-0.526,0.294,1.0,0,0.245,1,motif_DG
NDM5_029,19,0.86,1.0,0.438,1.6,1,0.437,1,odd_Cys(free_thiol)
NDM5_030,20,-1.95,-0.03,0.314,0.771,0,0.262,1,motif_DG
NDM5_031,20,-1.99,0.12,0.307,1.0,0,0.256,0,
NDM5_032,20,3.97,-0.265,0.605,0.429,0,0.831,0,
NDM5_033,20,1.98,-0.44,0.326,0.871,0,0.437,1,N-term_Q/E(pyroglutamate)
NDM5_034,20,-2.02,0.035,0.623,0.614,0,0.5,1,N-term_Met(ox)
NDM5_035,20,-1.02,-0.095,0.274,0.786,0,0.228,0,
NDM5_036,20,-1.99,-0.295,0.41,0.4,0,0.342,1,motif_DS
NDM5_037,20,1.86,-0.78,0.549,1.6,1,0.613,1,odd_Cys(free_thiol)
