design_id,length,net_charge_pH7.4,gravy,hydrophobic_moment,aggregation_proxy,cys_count,delivery_proxy,n_liabilities,liabilities
KPC3_000,16,0.98,-0.294,0.19,1.157,0,0.24,1,motif_NG
KPC3_001,16,1.98,-0.825,0.312,0.114,0,0.425,0,
KPC3_002,16,-1.14,0.562,0.118,0.971,1,0.098,1,odd_Cys(free_thiol)
KPC3_003,16,-2.14,0.662,0.177,1.057,1,0.148,1,odd_Cys(free_thiol)
KPC3_004,16,0.01,-0.206,0.467,1.671,0,0.39,0,
KPC3_005,16,-0.02,1.247,0.09,2.333,0,0.075,0,
KPC3_006,16,0.98,0.147,0.371,1.05,0,0.39,2,motif_NG;motif_DP
KPC3_007,16,-3.02,-0.5,0.328,1.086,0,0.273,2,N-term_Q/E(pyroglutamate);motif_DS
KPC3_008,16,-1.02,0.988,0.197,2.057,0,0.164,1,motif_DG
KPC3_009,16,-1.02,-0.806,0.162,-0.414,0,0.135,1,motif_DP
KPC3_010,39,-0.14,1.359,0.046,1.9,1,0.038,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_011,39,-3.02,-0.91,0.379,0.986,0,0.316,3,N-term_Met(ox);motif_DG;oxidation_prone(M/W)
KPC3_012,39,-1.25,-0.485,0.607,1.029,2,0.5,2,motif_DP;homopolymer_run>=4
KPC3_013,39,-1.44,-0.51,0.404,1.086,4,0.337,3,4_Cys;motif_NG;motif_DG
KPC3_014,39,-1.1,-0.013,0.168,0.871,1,0.14,1,odd_Cys(free_thiol)
KPC3_015,39,-0.14,-0.497,0.628,2.4,1,0.5,1,odd_Cys(free_thiol)
KPC3_016,39,0.9,1.0,0.77,3.214,1,0.575,2,odd_Cys(free_thiol);oxidation_prone(M/W)
KPC3_017,39,-2.03,1.036,0.586,2.771,0,0.489,0,
KPC3_018,39,0.01,-0.474,0.448,1.357,0,0.375,1,motif_DS
KPC3_019,39,3.97,-0.19,0.608,1.357,0,0.831,0,
KPC3_020,27,-0.03,0.319,0.578,1.143,0,0.482,0,
KPC3_021,27,-0.14,-1.259,0.442,0.286,1,0.369,2,odd_Cys(free_thiol);motif_NS
KPC3_022,27,-4.32,0.07,0.29,1.657,3,0.242,3,odd_Cys(free_thiol);3_Cys;N-term_Q/E(pyroglutamate)
KPC3_023,27,-3.14,0.215,0.292,1.343,1,0.244,2,odd_Cys(free_thiol);motif_DP
KPC3_024,27,-1.58,0.711,0.397,2.586,5,0.331,2,odd_Cys(free_thiol);5_Cys
KPC3_025,27,-6.69,-0.067,0.288,1.986,6,0.24,3,6_Cys;N-term_Met(ox);motif_DG
KPC3_026,27,-0.14,-0.541,0.349,0.686,1,0.291,1,odd_Cys(free_thiol)
KPC3_027,27,-0.03,0.881,0.4,2.143,0,0.333,1,N-term_Met(ox)
KPC3_028,27,1.97,-1.444,0.578,-0.243,0,0.645,0,
KPC3_029,27,-2.25,0.507,0.165,2.329,2,0.138,0,
KPC3_030,29,-1.02,-0.231,0.17,0.443,0,0.141,1,homopolymer_run>=4
KPC3_031,29,-7.02,-1.017,0.433,0.186,0,0.361,1,motif_DG
KPC3_032,29,-0.02,0.21,0.551,1.786,0,0.459,1,motif_DG
KPC3_033,29,-1.14,0.724,0.515,1.9,1,0.429,1,odd_Cys(free_thiol)
KPC3_034,29,-6.1,-0.414,0.351,1.129,1,0.293,1,odd_Cys(free_thiol)
KPC3_035,29,-1.02,0.341,0.183,1.114,0,0.152,1,motif_DP
KPC3_036,29,3.05,-1.41,0.588,-0.043,0,0.744,0,
KPC3_037,29,0.64,0.319,0.243,1.467,3,0.256,3,odd_Cys(free_thiol);3_Cys;motif_NG
KPC3_038,29,2.01,0.024,0.642,0.914,0,0.668,0,
KPC3_039,29,-1.91,-0.562,0.322,0.6,0,0.269,1,motif_DS
KPC3_040,44,-3.47,-0.082,0.431,0.829,4,0.359,3,4_Cys;motif_DG;motif_DS
KPC3_041,44,1.97,-0.08,0.554,2.114,0,0.626,1,homopolymer_run>=4
KPC3_042,44,-4.03,0.027,0.459,2.671,0,0.382,1,motif_DG
KPC3_043,44,-3.02,-0.08,0.537,1.443,0,0.447,0,
KPC3_044,44,0.97,-0.162,0.176,0.78,0,0.228,1,homopolymer_run>=4
KPC3_045,44,1.98,-0.198,0.275,1.029,0,0.394,2,motif_DG;oxidation_prone(M/W)
KPC3_046,44,-2.02,0.277,0.301,1.486,0,0.251,1,homopolymer_run>=4
KPC3_047,44,4.86,-0.427,0.457,0.771,1,0.786,3,odd_Cys(free_thiol);motif_NG;homopolymer_run>=4
KPC3_048,44,1.57,-0.375,0.413,0.614,4,0.475,2,4_Cys;N-term_Met(ox)
KPC3_049,44,-2.17,0.493,0.497,2.214,2,0.414,1,homopolymer_run>=4
KPC3_050,45,-0.99,0.289,0.241,1.4,0,0.201,0,
KPC3_051,45,-0.25,-0.162,0.568,0.771,2,0.473,0,
KPC3_052,45,-1.14,0.178,0.361,1.943,1,0.301,3,odd_Cys(free_thiol);motif_DS;oxidation_prone(M/W)
KPC3_053,45,-0.03,0.482,0.499,2.529,0,0.415,1,motif_NG
KPC3_054,45,-1.99,-0.16,0.548,1.543,0,0.457,2,motif_NG;motif_DP
KPC3_055,45,-7.43,-0.673,0.547,1.614,4,0.456,3,4_Cys;N-term_Q/E(pyroglutamate);motif_DP
KPC3_056,45,-2.47,-0.427,0.331,0.683,4,0.276,3,4_Cys;motif_DG;homopolymer_run>=4
KPC3_057,45,2.3,-0.304,0.59,1.686,6,0.684,1,6_Cys
KPC3_058,45,-3.25,-0.143,0.311,1.0,2,0.259,1,motif_DS
KPC3_059,45,0.05,0.282,0.598,1.957,0,0.503,1,motif_NG
KPC3_060,43,0.86,0.407,0.341,1.629,1,0.356,3,odd_Cys(free_thiol);motif_NS;homopolymer_run>=4
KPC3_061,43,0.57,-0.07,0.503,1.143,4,0.466,2,4_Cys;homopolymer_run>=4
KPC3_062,43,-2.1,0.83,0.486,1.757,1,0.405,2,odd_Cys(free_thiol);motif_DS
KPC3_063,43,-2.36,-0.198,0.393,0.914,3,0.328,3,odd_Cys(free_thiol);3_Cys;N-term_Q/E(pyroglutamate)
KPC3_064,43,3.97,-0.384,0.468,0.886,0,0.721,2,motif_NG;oxidation_prone(M/W)
KPC3_065,43,0.01,-0.751,0.447,0.829,0,0.374,2,N-term_Q/E(pyroglutamate);motif_NG
KPC3_066,43,1.9,-0.53,0.582,1.643,1,0.643,1,odd_Cys(free_thiol)
KPC3_067,43,1.64,0.191,0.503,2.0,3,0.556,3,odd_Cys(free_thiol);3_Cys;motif_DP
KPC3_068,43,-2.99,-0.405,0.589,1.214,0,0.49,1,motif_DG
KPC3_069,43,1.86,-0.679,0.385,1.143,1,0.476,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_070,19,-1.99,-0.326,0.355,1.2,0,0.295,0,
KPC3_071,19,-0.02,0.137,0.19,0.786,0,0.158,0,
KPC3_072,19,-0.02,-0.284,0.284,0.257,0,0.236,0,
KPC3_073,19,2.05,-1.579,0.336,-0.771,0,0.451,0,
KPC3_074,19,0.86,-0.189,0.2,1.2,1,0.238,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_075,19,-2.02,0.595,0.321,2.586,0,0.267,1,motif_DS
KPC3_076,19,-1.02,0.337,0.253,1.1,0,0.211,1,motif_DG
KPC3_077,19,4.97,-0.763,0.247,-0.243,0,0.62,0,
KPC3_078,19,-1.14,0.774,0.245,1.771,1,0.204,1,odd_Cys(free_thiol)
KPC3_079,19,-0.02,0.905,0.17,2.014,0,0.142,0,
KPC3_080,14,0.98,-0.814,0.595,0.171,0,0.577,0,
KPC3_081,14,-1.02,0.893,0.218,1.871,0,0.181,0,
KPC3_082,14,1.01,-0.0,0.332,0.343,0,0.361,0,
KPC3_083,14,-1.02,0.364,0.238,0.529,0,0.198,1,motif_DG
KPC3_084,14,-2.03,0.164,0.259,0.443,0,0.216,1,motif_DG
KPC3_085,14,-2.02,0.214,0.118,0.7,0,0.099,0,
KPC3_086,14,0.9,-0.243,0.229,0.929,1,0.266,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_087,14,-2.02,-0.729,0.222,-0.586,0,0.185,2,motif_DG;homopolymer_run>=4
KPC3_088,14,-0.02,0.171,0.422,0.714,0,0.351,0,
