design_id,binder_len,n_interface,n_epitope_hit,epitope_recall,interface_precision,n_catalytic_contacts,catalytic_ok,contacted_epitope,target_chain,status
KPC3_030,29,35,15,0.833,0.429,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_030_1,29,34,13,0.722,0.382,1,True,69|103|104|129|131|166|169|215|219|234|236|237|272,A,ok
KPC3_035,29,25,10,0.556,0.4,0,False,103|104|131|166|169|215|219|236|237|272,A,ok
KPC3_037,26,18,0,0.0,0.0,0,False,,A,ok
KPC3_058_1,45,46,12,0.667,0.261,2,True,69|104|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_064,43,48,14,0.778,0.292,3,True,69|72|103|104|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_072_1,19,26,14,0.778,0.538,3,True,69|72|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_077_0,19,24,13,0.722,0.542,3,True,69|72|103|104|129|131|165|166|169|219|236|237|272,A,ok
KPC3_077_1,19,28,13,0.722,0.464,3,True,69|72|103|104|129|131|165|166|169|219|236|237|272,A,ok
KPC3_086_1,14,26,15,0.833,0.577,3,True,69|72|103|104|129|131|165|166|169|215|219|235|236|237|272,A,ok
KPC3_097_0,13,19,12,0.667,0.632,2,True,69|103|104|129|131|165|166|169|215|234|236|272,A,ok
KPC3_097_1,13,15,10,0.556,0.667,1,True,103|104|131|165|166|215|219|234|236|272,A,ok
KPC3_100,37,30,8,0.444,0.267,1,True,103|104|165|166|169|236|237|272,A,ok
KPC3_102,37,45,12,0.667,0.267,2,True,68|69|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_105,37,49,18,1.0,0.367,4,True,68|69|72|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_108_1,37,38,12,0.667,0.316,3,True,69|72|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_115,34,44,16,0.889,0.364,4,True,69|72|103|104|129|131|165|166|169|215|233|234|235|236|237|272,A,ok
KPC3_117,34,18,4,0.222,0.222,1,True,103|104|165|166,A,ok
KPC3_120,40,42,14,0.778,0.333,3,True,68|69|72|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_120_0,40,33,14,0.778,0.424,2,True,69|103|104|129|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_120_1,40,37,12,0.667,0.324,3,True,69|72|103|104|129|131|165|166|169|236|237|272,A,ok
KPC3_123,40,35,12,0.667,0.343,3,True,69|72|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_128,40,46,2,0.111,0.043,1,True,165|166,A,ok
KPC3_135_1,18,25,14,0.778,0.56,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|272,A,ok
KPC3_139_1,18,23,0,0.0,0.0,0,False,,A,ok
KPC3_140,34,38,11,0.611,0.289,2,True,69|104|129|165|166|215|219|234|235|236|272,A,ok
KPC3_140_0,34,28,12,0.667,0.429,3,True,69|72|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_144,33,32,2,0.111,0.062,1,True,165|166,A,ok
KPC3_153,34,34,13,0.722,0.382,3,True,69|72|103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_154_0,34,28,8,0.444,0.286,1,True,103|104|165|166|169|236|237|272,A,ok
KPC3_155_1,34,30,13,0.722,0.433,2,True,69|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_160,30,32,17,0.944,0.531,4,True,69|72|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
